sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.1256;9.8901;-0.9733;0.2829;9.7647;-0.8982;0.6197;-0.0568;-0.0564;0.0011;0.1011;-0.0055;0.6075;17.24;-22.25;0.07;112.77;-84.6;-163.61;0.0;983.95;40.965;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 2;20004;2023-03-30 16:34:17:274
0.0024;9.6694;-0.9715;0.1503;9.7526;-1.0486;-0.141;-0.1633;-0.1407;0.0223;0.0266;-0.0464;0.6075;18.48;-21.84;0.83;102.34;-83.8;-171.84;0.0;983.33;46.837;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 2;20503;2023-03-30 16:34:17:773
0.2189;9.7352;-1.075;0.0637;9.7675;-0.9102;-0.5268;0.0917;-0.1715;-0.0322;-0.0032;-0.0151;0.6075;18.1;-21.95;0.51;98.84;-84.53;-174.56;0.0;983.69;47.515;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;21003;2023-03-30 16:34:18:273
0.2943;9.6957;-0.8746;0.1859;9.7669;-0.8992;0.1557;0.2239;0.1941;0.0185;0.0929;0.0374;0.6075;18.29;-22.03;0.62;104.8;-84.63;-168.32;0.0;983.53;40.772;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;21504;2023-03-30 16:34:18:774
-0.125;9.3434;-1.7605;0.1724;9.7567;-1.0063;0.1718;0.9667;0.0797;0.044;0.1242;-0.0195;0.6075;17.78;-22.22;1.51;100.82;-83.73;-170.31;0.0;983.22;41.907;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;22004;2023-03-30 16:34:19:274
0.3918;9.7813;-1.06;0.1548;9.7623;-0.9538;0.3669;0.0195;-0.1142;-0.017;-0.0047;0.0328;0.6075;18.47;-21.94;1.02;102.22;-84.18;-171.52;0.0;985.4;48.83;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;22504;2023-03-30 16:34:19:774
0.53;9.4522;-1.3286;0.0867;9.7644;-0.9403;-0.3306;0.2898;0.3674;0.0348;0.1145;0.0791;0.6075;17.91;-21.39;0.49;99.73;-84.36;-176.75;0.0;985.29;44.735;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;23004;2023-03-30 16:34:20:274
0.6694;9.0921;-1.0355;0.4488;9.7532;-0.9542;0.2983;-0.0539;-0.0105;-0.0316;0.0974;0.0759;0.6075;17.65;-22.77;2.22;115.81;-83.83;-154.81;0.0;983.6;51.582;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;23503;2023-03-30 16:34:20:773
0.4193;9.7998;-0.798;0.597;9.7477;-0.9284;-0.1688;-0.0872;0.028;0.0148;-0.0899;-0.0246;0.6075;16.57;-22.86;2.57;119.32;-83.59;-148.02;0.0;984.74;48.989;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;24003;2023-03-30 16:34:21:273
-0.6802;9.8734;-0.4726;0.2827;9.7628;-0.9183;0.0679;0.3006;0.0839;-0.016;-0.4276;-0.2199;0.6075;18.39;-22.61;0.84;110.59;-84.38;-162.89;0.0;984.22;48.581;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;24503;2023-03-30 16:34:21:773
-0.0162;9.789;-0.9577;0.5485;9.7429;-1.0056;-0.0337;0.0303;-0.0674;-0.0533;0.0527;0.0179;0.6075;16.41;-22.8;1.35;117.44;-83.8;-156.78;0.0;987.21;49.716;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;25003;2023-03-30 16:34:22:273
0.9165;9.6927;-1.4219;0.4056;9.7118;-1.3237;0.3038;-0.052;0.2451;0.1097;-0.0037;-0.137;0.6075;17.76;-22.3;1.71;109.87;-81.89;-162.97;0.0;984.72;45.864;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;25504;2023-03-30 16:34:22:774
-0.0897;9.6054;-1.7234;0.0744;9.6711;-1.6431;-0.2491;-0.0507;-0.117;0.0493;-0.0095;-0.079;0.6075;17.85;-21.73;2.1;99.4;-80.56;-175.62;0.0;984.51;45.238;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;26003;2023-03-30 16:34:23:273
-0.6018;9.4505;-1.3119;0.0418;9.6789;-1.5979;-0.6888;-0.149;0.2194;-0.0032;0.0399;0.0672;0.6075;18.19;-21.41;3.61;89.81;-80.62;-178.5;0.0;984.56;42.792;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;26503;2023-03-30 16:34:23:773
0.3679;9.6867;-1.1498;0.0271;9.6922;-1.5156;0.2119;0.0664;0.3163;-0.0441;-0.0412;0.0464;0.6075;18.18;-21.18;1.29;98.13;-81.11;-178.98;0.0;984.58;45.98;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;27003;2023-03-30 16:34:24:273
-0.5892;9.6897;-1.5081;-0.2755;9.6706;-1.6248;0.1282;0.0028;0.0073;-0.0057;0.0771;0.0289;0.6075;19.24;-20.3;1.83;84.67;-80.33;170.38;0.0;983.69;45.726;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;27503;2023-03-30 16:34:24:773
-0.5384;9.1938;-1.7719;-0.2816;9.6645;-1.6598;0.0967;0.1779;0.0742;-0.0226;-0.0742;0.0082;0.6075;18.93;-20.58;1.92;85.38;-80.01;170.19;0.0;982.38;44.049;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 2;28003;2023-03-30 16:34:25:273
-0.4648;9.6503;-1.4309;-0.0993;9.702;-1.4486;0.1153;-0.0736;0.0316;-0.0452;-0.0867;0.0533;0.6075;18.76;-21.36;1.23;92.54;-81.49;176.08;0.0;984.79;46.537;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 2;28503;2023-03-30 16:34:25:773
-0.3039;9.5725;-1.2491;-0.0938;9.7204;-1.3196;0.3245;-0.0531;0.1244;0.0425;0.1048;-0.0512;0.6075;19.46;-21.73;1.07;91.51;-82.2;175.42;0.0;984.03;45.814;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 2;29004;2023-03-30 16:34:26:274
-0.868;9.6628;-1.4381;-0.2271;9.713;-1.357;0.0814;-0.0786;-0.051;0.0096;0.018;-0.0469;0.6075;18.76;-21.17;1.43;86.5;-81.94;170.5;0.0;983.55;49.344;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 2;29504;2023-03-30 16:34:26:774
-0.7035;9.7358;-0.7669;-0.3035;9.7444;-1.0916;-0.3169;-0.0377;0.2486;-0.168;0.7039;0.0333;0.6075;19.14;-20.78;1.73;74.25;-82.28;161.88;0.0;984.46;47.854;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;30003;2023-03-30 16:34:27:273
-0.9296;9.1854;-1.2843;-0.2639;9.7553;-0.9999;-1.0415;-0.0783;0.0124;0.0224;-0.1072;-6.0E-4;0.6075;19.45;-20.51;1.23;78.85;-83.95;165.21;0.0;984.15;52.345;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;30503;2023-03-30 16:34:27:773
-1.0343;9.615;-0.9494;-0.4073;9.748;-1.0235;-0.0105;-0.0832;-0.0264;-0.0064;0.0145;-0.0183;0.6075;19.51;-20.83;-0.66;81.53;-83.63;161.97;0.0;984.24;52.575;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;31003;2023-03-30 16:34:28:273
-0.7651;9.737;-0.8674;-0.4943;9.7547;-0.9153;-0.1364;-0.083;0.0163;-0.0409;0.0828;-0.0113;0.6075;19.74;-21.03;-1.65;74.03;-83.68;151.85;0.0;983.87;44.523;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;31503;2023-03-30 16:34:28:773
-1.2317;9.2758;-0.4546;-0.3052;9.7767;-0.7482;0.2699;-0.02;0.2651;-0.0037;-0.1469;-0.0183;0.6075;19.32;-20.74;-0.77;75.94;-85.27;157.81;0.0;983.81;47.529;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;32003;2023-03-30 16:34:29:273
-0.1998;9.7424;-0.8016;-0.3618;9.7728;-0.7737;0.1185;-0.0187;-0.0045;-0.0011;-0.0096;0.0195;0.6075;19.53;-21.41;-1.24;72.89;-85.01;154.94;0.0;983.98;55.288;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;32504;2023-03-30 16:34:29:774
-0.4558;9.5862;-0.6646;-0.3592;9.7798;-0.6804;0.4161;0.0334;-0.2833;-0.0145;0.0586;-0.0053;0.6075;19.63;-21.12;-1.35;72.14;-85.06;151.44;0.0;983.91;52.6;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;33005;2023-03-30 16:34:30:275
-0.7149;9.7543;-0.4295;-0.3926;9.7769;-0.7029;0.1797;-0.1082;-0.1051;0.0125;-0.0473;-0.0524;0.6075;19.34;-21.87;-1.24;69.35;-85.44;151.32;0.0;984.01;50.927;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;33504;2023-03-30 16:34:30:774
0.1244;9.9266;-0.9954;-0.7075;9.7405;-0.9261;0.3807;-0.0361;0.0238;0.013;-0.036;-0.1984;0.6075;20.4;-20.53;-0.83;66.39;-83.79;147.41;0.0;984.02;55.635;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;34003;2023-03-30 16:34:31:273
-2.7141;9.5785;-0.6987;-1.5738;9.6551;-0.7335;0.0692;0.1181;0.4196;-0.0238;0.4849;-0.0417;0.6075;21.42;-18.03;0.96;26.52;-79.81;114.99;0.0;983.95;55.804;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;34503;2023-03-30 16:34:31:773
-1.3747;9.539;-0.2189;-1.4276;9.699;-0.3577;0.7939;0.0421;0.0578;-0.1162;-0.641;-0.1709;0.6075;21.47;-18.19;2.27;10.01;-81.37;104.07;0.0;984.83;55.317;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;35003;2023-03-30 16:34:32:273
-1.0002;9.7765;0.7669;-1.4579;9.6773;0.6791;0.2215;0.0102;0.0165;-0.1675;0.082;0.1959;0.6075;21.61;-18.74;-1.52;336.74;-80.56;65.02;0.0;984.14;44.493;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;35503;2023-03-30 16:34:32:773
-1.1288;9.7711;1.3418;-0.9254;9.6925;1.1982;-0.1027;-0.1223;0.0165;-0.0121;-0.21;0.037;0.6075;19.45;-20.95;-1.77;305.34;-81.12;37.68;0.0;983.97;45.263;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;36003;2023-03-30 16:34:33:273
-0.9906;9.5695;1.2909;-0.8002;9.6924;1.2861;-0.1173;-0.0223;-0.0905;0.017;-0.1694;-0.0084;0.6075;19.75;-20.67;-2.06;299.58;-81.05;32.37;0.0;983.86;47.429;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;36503;2023-03-30 16:34:33:773
-1.1049;9.685;1.3041;-0.7427;9.6941;1.3072;-0.1;-0.1209;0.1277;-0.0049;0.0712;0.0304;0.6075;19.53;-21.31;-1.45;294.34;-81.17;30.25;0.0;983.86;43.816;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;37003;2023-03-30 16:34:34:273
-0.7316;9.6108;1.264;-0.7532;9.697;1.2792;0.0995;-6.0E-4;-0.0818;0.0087;0.0962;-0.0168;0.6075;19.31;-21.18;-3.57;304.23;-81.3;30.49;0.0;984.08;39.724;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;37503;2023-03-30 16:34:34:773
-0.6144;9.2477;1.3143;-0.8137;9.6996;1.2217;-0.449;-0.6618;0.008;0.0428;-0.0414;-0.042;0.6075;19.29;-20.87;-2.88;302.57;-81.36;31.91;0.0;983.99;41.897;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;38004;2023-03-30 16:34:35:274
-0.5288;9.591;1.0804;-0.8968;9.7033;1.1303;0.1863;-0.1343;-0.1991;0.0037;0.0174;-0.0255;0.6075;20.61;-20.35;-1.02;304.16;-81.54;38.43;0.0;983.83;42.424;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;38504;2023-03-30 16:34:35:774
-0.5288;9.6437;1.1085;-0.8211;9.7031;1.1882;-0.1311;-0.0856;0.1456;-0.0157;0.1393;0.0446;0.6075;19.11;-21.17;-3.18;306.48;-81.59;38.17;0.0;984.0;41.306;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;39003;2023-03-30 16:34:36:273
-0.7974;9.664;1.1874;-0.7651;9.711;1.1609;0.1168;0.0285;0.079;-0.0029;-0.0435;0.0229;0.6075;18.91;-21.08;-3.29;304.73;-81.85;33.39;0.0;984.0;39.928;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;39503;2023-03-30 16:34:36:773
-1.5344;9.3063;1.2885;-0.7765;9.708;1.1779;-0.0866;0.0811;-0.0774;0.0024;-0.0869;0.0073;0.0475;18.53;-21.37;-3.71;307.89;-81.73;33.39;0.0;983.97;40.388;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;40003;2023-03-30 16:34:37:273
