sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0407;3.6706;9.4851;-0.1917;3.4369;9.1863;-0.3757;0.0653;0.2695;0.1851;-0.2318;0.1235;297.58;-25.49;-2.6;-27.8;75.08;-20.51;1.2;2.0;983.87;44.571;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;4;2023-03-30 16:33:57:274
-0.9344;1.5015;11.0824;0.1761;2.6216;9.4516;0.5503;0.2519;1.4874;-0.4348;-0.2395;-0.6735;297.58;-22.68;-10.89;-24.14;98.4;-18.38;6.87;2.0;983.92;53.722;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;503;2023-03-30 16:33:57:773
4.608;6.2949;3.0305;7.4194;5.4384;3.4078;0.8534;0.1362;-1.4467;-0.4552;-1.0079;-0.5611;297.58;-21.17;-18.37;9.77;110.61;-33.67;-65.33;2.0;983.5;41.679;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;1003;2023-03-30 16:33:58:273
-2.7852;9.5456;-2.4778;1.2731;9.72;0.3704;1.7084;-1.2286;1.5111;0.9827;-2.8398;-6.5279;297.58;0.83;-24.28;10.24;156.16;-44.54;-68.87;2.0;983.79;39.638;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;1503;2023-03-30 16:33:58:773
-1.6648;10.255;0.2183;-0.8936;9.7691;0.0441;-0.2788;0.9825;0.1339;0.0632;-0.2017;0.1092;34.2162;21.08;-18.92;-0.54;359.89;-84.77;87.18;2.0;983.84;48.884;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;2003;2023-03-30 16:33:59:273
-0.9523;9.7119;-0.0885;-0.6494;9.7854;-0.2443;0.2934;0.4637;0.0379;0.0286;0.9865;-0.1567;37.5675;19.9;-19.74;-3.28;31.3;-85.94;110.62;0.0;983.97;49.4;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;2503;2023-03-30 16:33:59:773
-0.6939;10.1827;-0.2506;-0.5153;9.7788;-0.5877;-0.1878;0.1258;-0.0655;0.2188;0.2268;-0.3305;37.5675;19.58;-20.2;-2.59;61.34;-85.43;138.76;0.0;984.24;46.191;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;3003;2023-03-30 16:34:00:273
0.1561;9.728;-0.2668;-0.1402;9.8034;-0.3305;0.2375;-0.1724;0.1061;-0.0368;0.1594;0.1579;37.5675;18.73;-21.28;-3.7;72.71;-87.64;148.36;0.0;986.98;40.345;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;3503;2023-03-30 16:34:00:773
0.341;9.3266;-0.3876;0.2458;9.7939;-0.5054;-0.002;0.0043;0.1101;0.0661;0.3703;0.1762;37.5675;17.51;-22.64;-5.22;134.3;-86.72;-154.07;0.0;985.35;42.31;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;4004;2023-03-30 16:34:01:274
0.9876;9.8279;-0.3906;0.8808;9.7581;-0.4901;0.1182;-0.0186;0.0408;-0.0211;-0.3187;0.1066;37.5675;16.51;-24.25;-4.93;166.41;-84.37;-121.71;0.0;986.1;41.674;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;4504;2023-03-30 16:34:01:774
1.0164;9.5611;-0.7172;0.9165;9.7642;-0.2383;0.051;-0.2668;-0.463;-0.0125;0.1797;0.1503;37.5675;15.57;-24.38;-5.87;183.13;-85.29;-110.16;0.0;985.84;50.172;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;5003;2023-03-30 16:34:02:273
2.077;9.9278;0.3775;1.0436;9.7539;0.0934;-0.0135;0.2242;0.6156;-0.0174;0.5738;-0.1145;37.5675;14.86;-24.81;-8.31;208.96;-83.87;-84.88;0.0;986.44;59.769;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;5503;2023-03-30 16:34:02:773
0.4708;10.2742;-0.0532;0.808;9.7734;-0.2525;0.822;0.4674;0.5638;0.1013;0.7361;-0.2329;37.5675;16.03;-23.89;-5.16;186.39;-85.05;-100.21;0.0;984.91;50.631;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;6004;2023-03-30 16:34:03:274
-0.2489;9.8913;-1.2311;-0.1498;9.7776;-0.7827;-0.302;-0.0934;-0.6668;0.0128;-0.0567;-0.031;37.5675;17.75;-21.69;-0.62;107.2;-85.67;-170.99;0.0;988.67;56.236;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;6504;2023-03-30 16:34:03:774
-2.3827;8.6955;-6.5713;-3.7907;9.0306;-0.5616;-1.2457;0.1028;0.6092;0.1724;-0.0672;0.3118;37.5675;26.91;-11.61;-1.77;16.82;-67.01;98.43;0.0;985.98;53.054;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;7003;2023-03-30 16:34:04:273
1.142;9.67;-0.7741;-0.9135;9.7494;-0.5915;-0.2171;0.0679;-0.3959;-0.1359;0.3138;0.9317;37.5675;19.7;-19.52;2.73;27.44;-83.63;122.92;0.0;982.76;55.938;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;7504;2023-03-30 16:34:04:774
-1.9172;9.4068;-1.1019;-0.4738;9.7599;-0.8693;0.3407;0.2071;0.0583;0.0307;-0.1121;5.0E-4;1.4988;18.71;-19.95;5.61;48.38;-84.62;152.44;0.0;984.49;57.161;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;8003;2023-03-30 16:34:05:273
-0.1561;9.6897;-0.987;-0.6187;9.7335;-1.0547;0.1251;-0.2838;-0.2641;0.0817;-0.4644;0.3312;1.4988;20.78;-19.68;-0.43;58.72;-82.36;142.25;0.0;987.04;57.08;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;8504;2023-03-30 16:34:05:774
0.1143;9.5725;-0.6658;-0.5846;9.7709;-0.6516;-0.3429;-0.2799;-0.0954;-0.0443;0.2746;-0.0675;1.4988;19.84;-21.0;-4.47;64.62;-84.6;138.17;0.0;985.37;54.877;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;9004;2023-03-30 16:34:06:274
-0.3416;9.6562;-0.5127;-0.593;9.7634;-0.7482;-0.4173;-0.4734;0.0656;0.0142;0.0208;0.0173;1.4988;19.73;-20.52;-4.38;68.37;-84.42;141.6;0.0;986.83;52.558;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;9504;2023-03-30 16:34:06:774
-0.4014;9.7286;-0.7507;-0.4449;9.7701;-0.7637;0.014;0.1055;-0.0297;-0.0035;-0.0623;0.0133;1.4988;20.35;-20.65;-2.13;70.67;-84.83;149.78;0.0;985.74;49.316;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;10004;2023-03-30 16:34:07:274
-0.4678;9.5898;-0.3272;-0.5069;9.7663;-0.7736;-0.1106;-0.2818;0.2627;0.0396;-0.1556;-0.0168;1.4988;19.85;-21.01;-4.86;78.92;-84.8;149.62;0.0;985.67;67.497;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;10504;2023-03-30 16:34:07:774
-0.414;10.1103;-0.6197;-0.5377;9.7519;-0.9205;0.151;0.2412;-0.0504;0.1205;-0.0359;0.0742;1.4988;20.11;-20.63;-0.84;66.77;-84.07;148.05;0.0;980.77;63.743;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;11003;2023-03-30 16:34:08:273
0.5838;9.6562;-1.215;0.1068;9.7405;-1.1609;0.5754;-0.1045;-0.0736;0.036;0.2514;0.2082;1.4988;17.78;-20.98;1.48;86.7;-83.45;172.18;0.0;982.27;49.377;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;11503;2023-03-30 16:34:08:773
0.1723;9.7173;-1.3322;0.1041;9.7472;-1.1032;0.1147;-0.0061;-0.0514;-0.004;-0.1535;-0.0782;1.4988;18.47;-21.36;1.01;99.65;-83.51;-174.61;0.0;985.06;43.294;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;12004;2023-03-30 16:34:09:274
-0.0873;9.6515;-1.2144;-0.2666;9.7501;-1.0495;0.1876;-0.0751;-0.1177;-0.017;0.0199;-0.0163;1.4988;18.79;-20.9;0.51;81.47;-83.8;167.62;0.0;986.11;46.495;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;12503;2023-03-30 16:34:09:773
-1.2574;9.7029;-1.194;-0.4693;9.7334;-1.13;-0.6598;0.0843;0.2194;0.0684;0.1823;0.1671;1.4988;19.23;-20.92;-0.87;78.36;-82.84;157.45;0.0;982.11;61.531;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;13003;2023-03-30 16:34:10:273
-0.6221;8.9599;-1.6857;-0.4896;9.7231;-1.2074;1.0969;-0.0944;-0.2881;-0.0139;0.1054;0.0605;1.4988;19.04;-20.19;-1.4;74.25;-82.22;153.16;0.0;981.38;64.115;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;13505;2023-03-30 16:34:10:775
0.3811;9.6239;-1.0828;0.1103;9.7548;-1.0336;0.1773;-0.0186;0.0292;0.0307;-0.0197;-0.0542;1.4988;18.34;-22.07;-0.88;106.35;-83.92;-173.91;0.0;983.09;54.262;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;14003;2023-03-30 16:34:11:273
-2.2582;11.6387;0.1986;-0.4024;9.7599;-0.9049;0.627;0.1904;-0.1188;-0.0186;-0.3506;-0.0276;1.4988;19.59;-21.29;-0.34;75.14;-84.17;159.12;0.0;986.11;46.779;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;14503;2023-03-30 16:34:11:773
-1.4387;9.6736;-0.5575;-0.4958;9.7626;-0.8263;0.2648;-0.0346;-0.106;0.1029;-0.5764;0.1408;1.4988;19.39;-20.9;0.24;64.8;-84.36;149.04;0.0;987.98;63.544;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;15003;2023-03-30 16:34:12:273
-0.9362;9.6036;-0.5444;-0.2072;9.7701;-0.8592;0.0341;-0.3682;-0.0802;-0.0417;0.2334;-0.0933;0.6075;19.12;-21.12;-0.67;85.18;-84.83;166.44;0.0;983.79;48.965;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;15503;2023-03-30 16:34:12:773
-0.4702;9.9404;-1.0756;-0.207;9.7762;-0.7865;0.0041;-0.0113;0.0407;-0.0163;-0.1239;0.0435;0.6075;19.46;-21.17;0.85;77.42;-85.24;165.25;0.0;983.68;43.904;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;16003;2023-03-30 16:34:13:273
-0.1908;9.6323;-0.7872;-0.2782;9.7849;-0.6439;0.4332;0.0962;0.2662;-0.0134;0.091;0.0348;0.6075;19.73;-20.94;-1.24;73.82;-85.79;156.67;0.0;984.82;41.493;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;16503;2023-03-30 16:34:13:773
-0.4397;9.9003;-0.5569;-0.1055;9.7942;-0.5467;0.1485;-0.0661;-0.1461;0.004;0.0732;0.0191;0.6075;18.58;-21.44;-2.1;88.67;-86.75;169.08;0.0;982.21;47.901;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;17004;2023-03-30 16:34:14:274
0.2345;9.7525;-0.4995;0.025;9.7946;-0.5497;0.1348;0.0141;0.0725;-0.0124;0.1339;-0.0037;0.6075;18.75;-21.98;-1.27;99.28;-86.78;-177.39;0.0;982.45;54.166;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;17504;2023-03-30 16:34:14:774
0.0634;9.8447;-0.5868;-0.2422;9.7928;-0.5285;0.1057;-0.0601;-0.1267;0.006;-0.0959;-0.0148;0.6075;19.22;-20.89;-3.49;80.56;-86.7;158.01;0.0;984.81;59.599;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;18003;2023-03-30 16:34:15:273
-1.0546;9.6048;-0.7358;-0.1569;9.7845;-0.6891;0.1715;-0.011;-0.1003;0.0706;0.0893;-0.1167;0.6075;19.84;-21.79;-1.62;87.42;-85.87;167.17;0.0;984.49;45.81;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 1;18503;2023-03-30 16:34:15:773
0.5151;9.7226;-0.8399;0.068;9.7702;-0.8805;0.4493;-0.0143;0.1637;0.0516;0.0069;-0.0173;0.6075;18.42;-22.53;-0.37;95.82;-84.91;179.34;0.0;984.02;41.741;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;19004;2023-03-30 16:34:16:274
0.2979;9.5856;-0.8501;0.1088;9.7617;-0.9662;0.097;-0.0826;0.1224;-0.0356;0.0015;0.0185;0.6075;18.63;-21.78;-0.57;103.37;-84.21;-176.12;0.0;984.07;47.27;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;19504;2023-03-30 16:34:16:774
