sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
8.7111;1.0164;-0.1101;9.7928;0.4758;0.3338;-0.7576;0.449;-0.1141;-0.0275;0.2022;-0.0185;77.8188;-24.39;-23.97;-3.09;186.43;-3.05;-88.94;2.0;983.74;44.09;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;5;2023-03-30 16:36:23:120
9.4367;0.5438;-0.1747;9.7873;0.6633;0.0735;-0.4418;0.0833;-0.1738;0.0441;-0.2089;-0.1987;77.8188;-23.75;-22.67;-4.29;190.16;-3.88;-89.57;2.0;983.79;37.131;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;504;2023-03-30 16:36:23:619
9.719;0.1095;0.9852;9.7723;0.8133;0.2768;0.1979;-0.6815;0.1527;0.0228;0.2317;0.0903;77.8188;-25.03;-20.51;-4.0;189.9;-4.76;-88.38;2.0;983.81;36.404;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;1004;2023-03-30 16:36:24:119
9.6227;0.2835;0.408;9.7573;1.0144;0.047;-0.1727;-0.909;0.5429;0.1689;-0.0996;-0.1287;114.1125;-23.69;-21.98;-3.1;187.66;-5.65;-89.11;2.0;983.8;34.213;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;1504;2023-03-30 16:36:24:619
9.4582;1.4363;-0.1926;9.8003;0.4226;0.1109;-0.3734;1.1752;-0.3071;-0.0258;-0.3894;0.2691;114.1125;-23.16;-23.24;-4.76;192.17;-3.98;-89.01;2.0;983.82;32.402;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;2004;2023-03-30 16:36:25:119
9.5157;0.4002;1.6247;9.7976;0.416;0.264;-0.0213;-0.2195;0.625;0.2619;-0.155;-0.1753;114.1125;-24.42;-21.84;-4.65;191.0;-1.47;-87.99;2.0;983.78;32.208;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;2505;2023-03-30 16:36:25:620
8.854;0.3045;-0.0108;9.7471;1.0426;0.3779;-0.4441;-0.3732;0.8182;0.2363;0.1436;-0.0278;114.1125;-24.18;-21.8;-3.33;186.52;-6.17;-88.1;2.0;983.78;42.119;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;3004;2023-03-30 16:36:26:119
9.0718;-0.5964;0.8369;9.7709;0.6079;0.6287;-0.5196;-1.0118;0.4866;-0.1177;0.0719;0.1025;114.1125;-26.49;-19.78;-4.49;187.22;-3.55;-86.32;0.0;983.78;42.954;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 1;3505;2023-03-30 16:36:26:620
9.5958;-0.0485;-0.2423;9.7575;1.0081;0.1096;-0.588;-1.2164;-0.0633;-0.0805;0.0828;-0.1672;98.0863;-25.46;-21.44;-3.0;188.44;-5.9;-89.36;0.0;983.73;38.823;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 1;4005;2023-03-30 16:36:27:120
10.6606;2.8205;0.0706;9.791;0.5788;0.1917;0.2846;1.7269;0.326;-0.0874;0.056;0.2961;98.0863;-23.83;-22.12;-5.01;192.59;-4.97;-88.64;0.0;983.77;37.633;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;4504;2023-03-30 16:36:27:619
8.7954;0.6036;-1.1061;9.7389;1.0929;-0.4427;1.8018;0.3012;0.6497;0.2114;-0.2824;-0.0406;98.0863;-23.86;-22.19;-3.9;193.76;-6.05;-91.78;0.0;983.74;32.989;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;5005;2023-03-30 16:36:28:120
9.1059;0.2853;1.066;9.7896;0.6266;0.0798;-1.0834;-0.7145;-0.6967;0.0968;-0.098;0.1648;98.0863;-27.51;-19.57;-2.94;190.3;-4.78;-90.41;0.0;983.76;38.92;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;5504;2023-03-30 16:36:28:619
9.3745;-0.3015;0.338;9.7597;0.9176;0.3778;0.0814;-1.1281;-0.9639;0.0971;0.0971;-0.3001;98.0863;-27.3;-20.33;-3.51;188.43;-3.64;-87.26;2.0;983.75;48.907;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;6005;2023-03-30 16:36:29:120
7.3256;2.3342;1.4542;9.8036;0.3471;0.0702;-1.2825;1.7662;-0.8251;-0.2433;0.0029;0.4067;98.0863;-26.74;-21.03;-5.78;196.17;-2.03;-89.59;2.0;983.78;32.67;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;6505;2023-03-30 16:36:29:620
11.2128;-0.1161;1.0672;9.7831;0.5359;0.4906;0.7528;-0.085;-0.4243;0.235;0.1092;-0.3841;98.0863;-26.69;-20.34;-4.18;188.14;-3.13;-87.13;2.0;983.73;34.807;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;7005;2023-03-30 16:36:30:120
9.7639;-0.7549;1.1462;9.7975;0.1115;0.4815;0.2668;-1.077;0.7964;-0.0441;-0.007;0.1642;98.0863;-29.52;-17.91;-4.28;189.7;-2.05;-87.89;0.0;983.74;33.097;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;7504;2023-03-30 16:36:30:619
9.941;1.2634;-0.9685;9.7646;0.9416;0.0392;-0.0776;0.5676;-0.1175;0.3514;0.1205;-0.2104;119.5338;-26.12;-21.3;-0.72;182.79;-5.51;-89.77;2.0;983.77;30.933;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;8004;2023-03-30 16:36:31:119
9.2201;3.0;-0.8859;9.7549;1.0373;0.0508;0.152;0.7852;-0.1404;-0.0872;-0.0564;0.3102;104.8425;-24.03;-22.97;-4.81;192.7;-8.02;-88.51;2.0;983.79;35.891;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;8505;2023-03-30 16:36:31:620
10.4094;0.0993;-0.5557;9.7858;0.6851;0.0664;0.7832;-0.7337;0.3495;-0.3299;-0.3056;0.1759;104.8425;-26.89;-21.0;-3.98;191.44;-4.15;-89.67;0.0;983.78;33.248;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;9004;2023-03-30 16:36:32:119
9.0879;-1.5661;-2.1739;9.8036;0.3548;-0.0121;-0.8251;-1.8538;-1.7142;0.3461;0.5429;0.0898;116.2463;-29.41;-18.58;-4.56;195.68;-2.07;-90.07;0.0;983.79;32.959;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;9504;2023-03-30 16:36:32:619
9.74;0.262;-0.7131;9.7937;0.4936;0.2745;-0.3099;0.5105;0.4137;0.0567;-0.0269;-0.2097;116.2463;-26.74;-20.75;-5.59;194.97;-2.88;-88.39;0.0;983.76;33.886;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;10004;2023-03-30 16:36:33:119
10.4536;2.2158;1.8221;9.7784;-0.2194;0.7561;0.4333;2.4647;0.838;-0.0218;-0.126;-0.0154;116.2463;-27.0;-20.12;-6.72;194.91;0.13;-86.51;0.0;983.78;33.46;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;10504;2023-03-30 16:36:33:619
9.2788;-0.8501;-1.1533;9.7983;0.4288;-0.2134;0.1248;-0.871;-0.4752;-0.0166;-0.5295;0.0727;116.2463;-26.63;-19.84;-2.99;190.8;-2.51;-91.25;0.0;983.71;32.972;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;11004;2023-03-30 16:36:34:119
9.673;-1.4177;-0.4684;9.8012;0.2551;-0.3293;-0.09;-1.3076;0.4364;-0.0137;-0.1301;-0.0429;116.2463;-27.82;-19.0;-2.56;191.16;-1.47;-91.24;0.0;983.75;33.48;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;11504;2023-03-30 16:36:34:619
11.8708;1.0439;-0.8124;9.8066;0.2596;0.0085;-0.112;0.0695;-1.0247;-0.0518;0.1472;0.0409;116.2463;-27.35;-20.74;-4.92;193.79;-1.52;-89.95;0.0;983.77;32.069;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;12005;2023-03-30 16:36:35:120
9.932;1.188;1.9663;9.7901;-0.6143;0.1137;0.1678;2.7123;-0.0757;-0.0312;0.3702;0.1646;116.2463;-28.16;-19.0;-7.1;197.85;3.59;-89.33;0.0;983.78;33.96;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;12504;2023-03-30 16:36:35:619
9.2859;-0.2261;-0.7089;9.8034;0.3414;0.1096;-0.7692;-0.1805;-0.1866;0.2517;-0.1436;-0.2799;116.2463;-26.4;-20.72;-4.16;190.47;-1.99;-89.36;0.0;983.76;33.021;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;13004;2023-03-30 16:36:36:119
8.2678;-1.0941;0.0203;9.8035;-0.0118;0.3556;-0.2947;-1.4543;0.8278;-0.015;0.1446;0.0634;116.2463;-28.41;-18.4;-5.12;192.24;-0.66;-87.63;0.0;983.79;34.7;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;13505;2023-03-30 16:36:36:620
9.2195;1.0367;-1.6522;9.8066;0.0807;0.2453;-0.11;0.6064;-0.4924;0.2786;0.0727;-0.0492;116.2463;-27.58;-19.11;-3.66;188.75;-0.4;-87.74;0.0;983.78;32.426;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;14005;2023-03-30 16:36:37:120
8.9097;0.4008;1.1737;9.7576;-0.9902;0.21;-0.6757;0.3937;-0.3579;-0.3221;0.6238;0.3161;116.2463;-28.01;-18.96;-5.49;192.11;4.05;-88.96;0.0;983.78;33.0;31.26146;34.799706;1003.23;NaN;;;43.916126;;0 / 0;14505;2023-03-30 16:36:37:620
