sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.6062;4.0899;8.8032;1.494;3.9693;8.8458;0.0349;0.1043;0.0936;0.0452;0.0411;0.1565;316.7275;-1.92;-29.39;-19.7;184.45;-23.75;-9.81;2.0;983.78;37.283;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;10;2023-03-30 16:31:19:288
1.4124;3.9188;8.9216;1.413;3.9285;8.8773;-0.0238;-0.0022;0.0599;0.0128;0.0619;0.08;425.7425;-2.66;-30.18;-20.92;181.01;-23.6;-9.04;2.0;983.82;39.826;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;508;2023-03-30 16:31:19:786
2.2851;3.941;8.9605;1.5293;3.7624;8.9298;-0.0879;-0.3761;-0.0405;-0.2877;-0.2002;0.0719;371.1513;-3.26;-29.15;-20.67;181.81;-22.55;-9.72;2.0;983.83;39.36;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;1009;2023-03-30 16:31:20:287
1.7731;3.472;9.0592;1.6074;3.423;9.0518;0.1954;0.0082;-0.2781;-0.0531;-0.0034;0.0446;371.1513;-3.28;-28.94;-19.87;181.62;-20.75;-10.13;2.0;983.89;54.315;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;1509;2023-03-30 16:31:20:787
1.6008;3.3882;8.8588;1.6559;3.3866;9.0568;-0.0981;-0.0196;-0.108;0.069;-0.0363;0.0166;371.1513;-3.55;-29.05;-20.48;179.04;-20.2;-10.36;2.0;983.87;39.734;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;2008;2023-03-30 16:31:21:286
1.3298;3.277;9.9422;1.8409;3.3398;9.0384;-0.1431;-0.1645;-0.336;0.2144;-0.4505;0.0098;371.1513;-4.93;-28.3;-20.26;176.3;-20.37;-10.6;2.0;983.91;33.859;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;2508;2023-03-30 16:31:21:786
7.4985;5.8014;6.3846;5.5608;5.4278;5.9877;0.1097;-0.6703;-0.709;2.2199;-1.024;0.8092;371.1513;-15.77;-30.19;-6.34;153.1;-29.14;-34.27;2.0;983.86;56.954;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;3009;2023-03-30 16:31:22:287
7.2006;5.9994;2.8008;6.5981;6.5294;3.173;-0.2733;-0.7535;0.6449;0.2686;-0.2078;-0.1054;371.1513;-19.69;-25.46;9.03;122.54;-39.73;-55.34;2.0;983.7;34.821;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;3508;2023-03-30 16:31:22:786
4.6965;6.0634;-0.0078;6.1505;7.6419;0.0949;-0.7137;-0.5252;-0.5419;-0.6374;-1.1387;-0.7584;75.5838;-5.14;-26.3;15.85;128.09;-51.17;-89.12;2.0;983.51;42.682;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;4008;2023-03-30 16:31:23:286
1.669;7.748;0.8022;-1.4098;9.6445;1.1098;1.536;-2.1807;-0.0615;0.8386;-2.1932;-2.0243;75.5838;26.06;-18.82;-3.03;267.99;-79.11;-0.61;2.0;983.65;44.744;31.26146;34.79971;1003.23;NaN;;;44.42258;;0 / 0;4508;2023-03-30 16:31:23:786
